UserName,UserDept,UserSDG,UserMethod,UserStage,MatchName,MatchDept,MatchSDG,MatchMethod,MatchStage,Topic_Match,Method_Match,Career_Fit,CCS_Total,Explanation
"Simons, Daniel",Business Administration,3,Empirical,Post-Tenure,"Raskie, Sterling",Finance,3,Empirical,Post-Tenure,92,74,75,82,Expertise in Financial Advisors and Capabilities. Method alignment (Empirical + Empirical) supports research. Peer collaboration: Both at Post-Tenure stage.
"Mahoney, Joseph",Business Administration,8,Empirical,Post-Tenure,"Subramanyam, Ramanath",Business Administration,12,Empirical,Post-Tenure,90,73,80,82,Expertise in Information Technology and Software Development. Method alignment (Empirical + Empirical) supports research. Peer collaboration: Both at Post-Tenure stage.
"Lough, Benjamin",Business Administration,17,Fieldwork,Post-Tenure,"Raskie, Sterling",Finance,3,Empirical,Post-Tenure,76,87,81,81,Expertise in Financial Advisors and Capabilities. Complementary methods (Empirical + Empirical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Shaw, Michael J.",Business Administration,3,Theoretical,Post-Tenure,"Minefee, Ishva",Business Administration,1,Theoretical,Post-Tenure,87,75,82,81,Expertise in Corporate Social Responsibility and Multinational Corporation. Similar methods (Theoretical + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Ybarra, Oscar",Business Administration,3,Theoretical,Post-Tenure,"Rindfleisch, Aric",Business Administration,12,Fieldwork,Post-Tenure,74,90,78,81,Expertise in Artificial Intelligence and Materialism. Complementary methods (Theoretical + Fieldwork) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Torelli, Carlos",Business Administration,8,Fieldwork,Post-Tenure,"Anand, Gopesh",Business Administration,3,Theoretical,Post-Tenure,74,88,77,80,Expertise in Pharmaceutical Industry and Outsourcing. Complementary methods (Fieldwork + Theoretical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Bucheli, Marcelo",Business Administration,16,Empirical,Post-Tenure,"Xu, Qiping",Finance,8,Experimental,Post-Tenure,78,81,80,80,Expertise in Financial Constraints and Creditors. Similar methods (Empirical + Experimental) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Brown, Jeffrey",Finance,1,Theoretical,Post-Tenure,"Reif, Julian",Finance,3,Theoretical,Post-Tenure,86,75,75,80,Expertise in Illinois and Employee Wellness Program. Similar methods (Theoretical + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Osswald, Benjamin",Accountancy,8,Theoretical,Pre-Tenure,"Zeume, Stefan",Finance,16,Fieldwork,Post-Tenure,71,85,91,80,Expertise in Corruption and Tax Haven. Complementary methods (Experimental + Fieldwork) create strong synergy. Excellent mentorship: Post-Tenure guides Pre-Tenure.
"Ahsen, Mehmet",Business Administration,3,Mixed Methods,Post-Tenure,"Sharpe, Nicola",Gies Affiliates,16,Theoretical,Post-Tenure,79,81,77,80,Expertise in Corporate Boards and Organizational Behavior. Similar methods (Computational + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Sanchez, Carmen",Business Administration,4,Experimental,Pre-Tenure,"Godsell, David",Accountancy,16,Empirical,Post-Tenure,74,82,91,80,Expertise in Foreign Investment and Accounting Policy. Similar methods (Experimental + Empirical) enable collaboration. Excellent mentorship: Post-Tenure guides Pre-Tenure.
"Simons, Daniel",Business Administration,3,Empirical,Post-Tenure,"Liu, Yunchuan(Frank)",Business Administration,9,Theoretical,Post-Tenure,75,85,75,79,Expertise in Social Welfare and Distribution Channels. Complementary methods (Empirical + Theoretical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Torelli, Carlos",Business Administration,8,Fieldwork,Post-Tenure,"Xu, Alison",Business Administration,11,Fieldwork,Post-Tenure,88,70,77,79,Expertise in Mindset and Field Study. Method alignment (Fieldwork + Fieldwork) supports research. Peer collaboration: Both at Post-Tenure stage.
"Brown, Jeffrey",Finance,1,Theoretical,Post-Tenure,"Ocasio, William",Business Administration,17,Theoretical,Post-Tenure,78,80,79,79,Expertise in Business Model and Corporate Governance. Similar methods (Theoretical + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Ahsen, Mehmet",Business Administration,3,Mixed Methods,Post-Tenure,"Ocasio, William",Business Administration,17,Theoretical,Post-Tenure,72,83,80,78,Expertise in Business Model and Corporate Governance. Similar methods (Computational + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Seshadri, Sridhar",Business Administration,9,Theoretical,Post-Tenure,"Love, E. Geoffrey",Business Administration,4,Theoretical,Post-Tenure,74,80,82,78,Expertise in Corporate Reputation and Firm Reputation. Similar methods (Theoretical + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Seshadri, Sridhar",Business Administration,9,Theoretical,Post-Tenure,"Yao, Fiona Kun",Business Administration,16,Theoretical,Post-Tenure,78,78,78,78,Expertise in China and International Business. Similar methods (Theoretical + Theoretical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Seshadri, Sridhar",Business Administration,9,Theoretical,Post-Tenure,"Yao, Mike",Business Administration,5,Empirical,Post-Tenure,70,85,75,77,Expertise in Online Privacy and China. Complementary methods (Theoretical + Empirical) create strong synergy. Peer collaboration: Both at Post-Tenure stage.
"Rozario, Andrea",Accountancy,16,Theoretical,Pre-Tenure,"Almeida, Heitor",Finance,8,Theoretical,Post-Tenure,80,70,86,77,Expertise in Cash Flow and Financial Constraints. Method alignment (Theoretical + Theoretical) supports research. Excellent mentorship: Post-Tenure guides Pre-Tenure.
"Brown, Jeffrey",Finance,1,Theoretical,Post-Tenure,"Xu, Qiping",Finance,8,Experimental,Post-Tenure,73,83,75,77,Expertise in Financial Constraints and Creditors. Similar methods (Theoretical + Experimental) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Mahoney, Joseph",Business Administration,8,Empirical,Post-Tenure,"Ivanov, Anton",Business Administration,3,Empirical,Post-Tenure,74,79,77,76,Expertise in Perceived Quality and COVID-19. Similar methods (Empirical + Empirical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Fullerton, Don",Finance,13,Theoretical,Post-Tenure,"Mukherjee, Ujjal",Business Administration,3,Empirical,Post-Tenure,75,78,76,76,Expertise in COVID-19 and Myeloma. Similar methods (Theoretical + Empirical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Ybarra, Oscar",Business Administration,3,Theoretical,Post-Tenure,"Irani, Rustom",Finance,8,Empirical,Post-Tenure,70,80,81,76,Expertise in Credit and Mortgages. Similar methods (Theoretical + Empirical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Ybarra, Oscar",Business Administration,3,Theoretical,Post-Tenure,"Subramanyam, Ramanath",Business Administration,12,Empirical,Post-Tenure,71,77,79,75,Expertise in Information Technology and Software Development. Similar methods (Theoretical + Empirical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Lough, Benjamin",Business Administration,17,Fieldwork,Post-Tenure,"Xu, Alison",Business Administration,11,Fieldwork,Post-Tenure,70,77,79,74,Expertise in Mindset and Field Study. Similar methods (Empirical + Fieldwork) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
"Bucheli, Marcelo",Business Administration,16,Empirical,Post-Tenure,"Pennacchi, George",Finance,10,Empirical,Post-Tenure,70,76,78,74,Expertise in Deposit Insurance and Interest Rate. Similar methods (Empirical + Empirical) enable collaboration. Peer collaboration: Both at Post-Tenure stage.
